"","into","sample","filename","xbr"
"CP01",1454.57317474899,5,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR007.mzML","XBR007"
"CP02",9949.55218683465,9,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR012.mzML","XBR012"
"CP03",4432.17466932075,10,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR014.mzML","XBR014"
"CP04",4927.15974534666,14,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR021.mzML","XBR021"
"CP05",9883.40450340097,16,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR024.mzML","XBR024"
"CP06",2769.18716651059,18,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR026.mzML","XBR026"
"CP07",40686.3360675179,22,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR045.mzML","XBR045"
"CP08",31089.5579982751,23,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR046.mzML","XBR046"
"CP09",2134.24749868474,25,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR052.mzML","XBR052"
"CP10",18741.7841233218,26,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR053.mzML","XBR053"
"CP11",1825.18841620906,29,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR059.mzML","XBR059"
"CP12",429520.966365044,31,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR063.mzML","XBR063"
"CP13",29001.2719856319,35,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR078.mzML","XBR078"
"CP14",81795.7446819392,36,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR080.mzML","XBR080"
"CP15",89104.0160168608,37,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR081.mzML","XBR081"
"CP16",1671.9682212412,44,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR091.mzML","XBR091"
"CP17",43971.4779610536,47,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR100.mzML","XBR100"
"CP18",1815.19648664192,49,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR117.mzML","XBR117"
"CP19",296740.137022095,51,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR120.mzML","XBR120"
"CP20",573732.871311514,55,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR127.mzML","XBR127"
"CP21",1715.28521527028,56,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR129.mzML","XBR129"
"CP22",215513.786634545,65,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR149.mzML","XBR149"
"CP23",387981.561131816,66,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR150.mzML","XBR150"
"CP24",2232.13151834765,68,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR158.mzML","XBR158"
"CP25",5629.27824853297,69,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR159.mzML","XBR159"
"CP26",20638.6787145228,74,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR164.mzML","XBR164"
"CP27",8163.17009104832,86,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR176.mzML","XBR176"
"CP28",20437.0401910574,87,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR178.mzML","XBR178"
"CP29",2847.38207745889,88,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR179.mzML","XBR179"
"CP30",7511.20785344869,89,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR180.mzML","XBR180"
"CP31",3643.74390659457,90,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR181.mzML","XBR181"
"CP32",4383.49600393607,99,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR197.mzML","XBR197"
"CP33",4030.02820127867,100,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR198.mzML","XBR198"
"CP34",9041.44929060382,106,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR218.mzML","XBR218"
"CP35",846216.830234836,108,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR221.mzML","XBR221"
"CP36",6685.8723505734,109,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR222.mzML","XBR222"
"CP37",5016.7782768057,111,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR227.mzML","XBR227"
"CP38",5159.67300909981,112,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR228.mzML","XBR228"
"CP39",58788.897832377,115,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR232.mzML","XBR232"
"CP40",19190.8671225496,117,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR234.mzML","XBR234"
"CP41",17216.3322077335,119,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR236.mzML","XBR236"
"CP42",217018.02672784,120,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR237.mzML","XBR237"
"CP43",2126.10249413028,122,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR239.mzML","XBR239"
"CP44",2773.38707084669,125,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR245.mzML","XBR245"
"CP45",25801.6588984037,126,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR249.mzML","XBR249"
"CP46",7777.83654793335,127,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR250.mzML","XBR250"
"CP47",2566.99204196678,128,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR251.mzML","XBR251"
"CP48",1889.11062123993,129,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR257.mzML","XBR257"
"CP49",131661.707711469,130,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR259.mzML","XBR259"
"CP50",10778.8022276261,137,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR269.mzML","XBR269"
"CP51",24413134.3524328,139,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR271.mzML","XBR271"
"CP52",2151.11980612294,141,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR273.mzML","XBR273"
"CP53",6538.12379290489,144,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR276.mzML","XBR276"
"CP54",30644.4153694648,145,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR277.mzML","XBR277"
"CP55",26944.1167728728,148,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR280.mzML","XBR280"
"CP56",71523.9324801264,149,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR281.mzML","XBR281"
"CP57",30634.5065614476,150,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR282.mzML","XBR282"
"CP58",56016.787751566,151,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR283.mzML","XBR283"
"CP59",9393.37941040682,153,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR285.mzML","XBR285"
"CP60",1632.34674512248,154,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR286.mzML","XBR286"
"CP61",362287.868321755,155,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR287.mzML","XBR287"
"CP62",413334.589368281,159,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR291.mzML","XBR291"
"CP63",11705.4805780161,160,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR292.mzML","XBR292"
"CP64",6626.83167930105,165,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR297.mzML","XBR297"
"CP65",81992.4234910577,166,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR298.mzML","XBR298"
"CP66",2496.3566948802,168,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR300.mzML","XBR300"
"CP67",49875.2890583936,171,"C:/Users/john.robinson/Documents/ms_data/JAW/AD integration/ALLMZML/20240116_all_implant_samples_pos_XBR303.mzML","XBR303"
