feature,Calc. MW,m/z,RT,Percentage feature in top 20 rank,AUC,p (Wilcoxon),FDR (BH),log2 Mean Difference,Fold Change
pos_1077.58075_5.559,1077.58075,360.20085,5.559,100%,0.9,8.2e-12,3.8e-9,4.1,17
pos_1091.59626_5.257,1091.59626,364.87269,5.257,100%,0.9,1.7e-11,6.2e-9,4.2,18.3
pos_1143.63481_4.944,1143.63481,382.21891,4.944,100%,0.92,8.9e-13,2.3e-9,4.3,20.2
pos_143.11832_1.314,143.11832,287.24392,1.314,100%,0.91,3.5e-12,3e-9,4.6,23.9
pos_244.22611_1.022,244.22611,245.23338,1.022,100%,0.88,3.3e-10,5.9e-8,3.9,15.3
pos_286.23656_1.675,286.23656,287.24384,1.675,100%,0.9,9e-12,3.8e-9,4.1,16.7
pos_333.13215_6.697,333.13215,334.13943,6.697,100%,0.9,7.5e-12,3.8e-9,3.5,11.7
pos_556.32152_5.537,556.32152,279.16804,5.537,100%,0.86,2.7e-9,3.6e-7,4.5,22
pos_469.32603_6.538,469.32603,235.67031,6.538,96%,0.83,5.4e-8,2.9e-6,3.7,12.6
pos_594.27421_5.968,594.27421,595.28148,5.968,96%,0.89,1e-10,2.6e-8,3.5,11.2
pos_1057.46741_4.856,1057.46741,529.74098,4.856,88%,0.83,5.4e-8,2.9e-6,2.9,7.2
pos_2073.10772_7.177,2073.10772,692.04318,7.177,88%,0.91,2e-12,2.5e-9,3.3,9.6
pos_218.12658_4.867,218.12658,219.13385,4.867,88%,0.85,1.2e-8,9.4e-7,3.3,9.7
pos_216.14734_4.603,216.14734,217.15462,4.603,64%,0.82,3.3e-7,1.1e-5,3.4,10.8
pos_461.33469_13.882,461.33469,462.34196,13.882,64%,0.88,3.3e-10,5.9e-8,3.1,8.6
pos_2151.10297_7.063,2151.10297,718.0416,7.063,60%,0.88,1.1e-10,2.6e-8,3.2,9.4
