"","InfUninf","AD1"
"XBR026","Infected",4.81275322118739
"XBR061","Uninfected",3.20294911796033
"XBR063","Infected",6.19005993009701
"XBR078","Infected",5.00741323774162
"XBR080","Infected",5.09541268232983
"XBR081","Infected",5.2621167158849
"XBR083","Uninfected",3.20294911796033
"XBR084","Uninfected",3.24136979904863
"XBR089","Uninfected",3.20294911796033
"XBR090","Uninfected",3.20294911796033
"XBR312","Infected",3.77553806159762
"XBR120","Uninfected",5.35199514234987
"XBR137","Uninfected",3.20294911796033
"XBR141","Uninfected",3.45496098760279
"XBR144","Infected",5.8839816672682
"XBR149","Infected",5.5704245968439
"XBR150","Infected",5.74840668675409
"XBR156","Uninfected",3.20294911796033
"XBR175","Uninfected",3.42597650622984
"XBR203","Infected",4.87285402483041
"XBR204","Infected",5.90902389704898
"XBR218","Infected",3.97352570963332
"XBR219","Uninfected",3.20394911796033
"XBR221","Uninfected",6.27239815280981
"XBR222","Uninfected",4.26302308798072
"XBR233","Uninfected",3.20294911796033
"XBR236","Infected",4.74916748789172
"XBR237","Infected",5.81809769932957
"XBR238","Uninfected",3.6637064671562
"XBR239","Uninfected",3.20294911796033
"XBR240","Uninfected",3.20294911796033
"XBR241","Uninfected",3.20294911796033
"XBR249","Infected",4.80262510968201
"XBR250","Uninfected",4.30960085918002
"XBR259","Infected",5.88522752662375
"XBR261","Uninfected",3.20294911796033
"XBR262","Uninfected",3.20294911796033
"XBR263","Uninfected",3.20294911796033
"XBR266","Uninfected",3.20294911796033
"XBR267","Uninfected",3.20294911796033
"XBR268","Uninfected",3.20294911796033
"XBR269","Uninfected",3.99326899215247
"XBR270","Uninfected",3.30056016421779
"XBR271","Infected",7.81940730734784
"XBR293","Uninfected",3.21379199238007
"XBR294","Uninfected",3.20294911796033
"XBR295","Uninfected",3.20294911796033
"XBR296","Infected",4.85915300111191
"XBR273","Uninfected",3.96989187983855
"XBR274","Infected",3.71608085682224
"XBR275","Uninfected",3.27193935587812
"XBR276","Infected",4.57485826582636
"XBR297","Uninfected",3.20294911796033
"XBR298","Infected",5.79454388574809
"XBR299","Uninfected",3.20294911796033
"XBR277","Infected",4.4161468710009
"XBR300","Uninfected",4.16664780130072
"XBR301","Uninfected",3.48817079065034
"XBR278","Uninfected",3.24313309699928
"XBR302","Uninfected",3.20294911796033
"XBR303","Infected",4.17325730459566
"XBR304","Infected",3.99914955280787
"XBR279","Uninfected",3.20294911796033
"XBR280","Infected",5.07210974453295
"XBR281","Infected",5.56118942179605
"XBR282","Uninfected",4.38704201751614
"XBR283","Infected",5.04278741687336
"XBR305","Uninfected",3.20294911796033
"XBR284","Infected",5.02117399472464
"XBR285","Infected",4.51930053108219
"XBR286","Infected",5.06690151765965
"XBR287","Infected",6.09976045670303
"XBR306","Uninfected",3.20294911796033
"XBR288","Infected",4.39688568058234
"XBR307","Infected",5.92143739400773
"XBR289","Infected",5.09023044873042
"XBR308","Uninfected",5.22779176529745
"XBR290","Infected",4.32763925524792
"XBR291","Infected",5.71257352334202
"XBR292","Uninfected",4.11267707551563
"XBR272","Uninfected",4.51655263485549
"XBR316","Uninfected",3.20294911796033
