"","InfUninf","AD3"
"XBR026","Infected",3.44235231025467
"XBR061","Uninfected",3.16173557404669
"XBR063","Infected",5.6329843680611
"XBR078","Infected",4.46241704632056
"XBR080","Infected",4.91273071064903
"XBR081","Infected",4.94989727861214
"XBR083","Uninfected",3.16173557404669
"XBR084","Uninfected",3.16173557404669
"XBR089","Uninfected",3.16173557404669
"XBR090","Uninfected",3.16173557404669
"XBR312","Infected",3.16173557404669
"XBR120","Uninfected",5.4723762928901
"XBR137","Uninfected",3.16173557404669
"XBR141","Uninfected",3.16173557404669
"XBR144","Infected",3.16173557404669
"XBR149","Infected",5.33347505764195
"XBR150","Infected",5.58881108618959
"XBR156","Uninfected",3.16173557404669
"XBR175","Uninfected",3.16173557404669
"XBR203","Infected",3.16173557404669
"XBR204","Infected",3.16173557404669
"XBR218","Infected",3.95623805088058
"XBR219","Uninfected",3.16173557404669
"XBR221","Uninfected",5.927481658676
"XBR222","Uninfected",3.82515808060671
"XBR233","Uninfected",3.16173557404669
"XBR236","Infected",4.23594063424847
"XBR237","Infected",5.33649581026909
"XBR238","Uninfected",3.16173557404669
"XBR239","Uninfected",3.32758419695222
"XBR240","Uninfected",3.16173557404669
"XBR241","Uninfected",3.16173557404669
"XBR249","Infected",4.41164762950051
"XBR250","Uninfected",3.89085881216237
"XBR259","Infected",5.11945948378703
"XBR261","Uninfected",3.16173557404669
"XBR262","Uninfected",3.16173557404669
"XBR263","Uninfected",3.16173557404669
"XBR266","Uninfected",3.16173557404669
"XBR267","Uninfected",3.16173557404669
"XBR268","Uninfected",3.16173557404669
"XBR269","Uninfected",4.03257050344499
"XBR270","Uninfected",3.16173557404669
"XBR271","Infected",7.38762354117791
"XBR293","Uninfected",3.16173557404669
"XBR294","Uninfected",3.16173557404669
"XBR295","Uninfected",3.16173557404669
"XBR296","Infected",3.16173557404669
"XBR273","Uninfected",3.33266459899236
"XBR274","Infected",3.16173557404669
"XBR275","Uninfected",3.16173557404669
"XBR276","Infected",3.8154531392585
"XBR297","Uninfected",3.82130593970546
"XBR298","Infected",4.91377372326119
"XBR299","Uninfected",3.16173557404669
"XBR277","Infected",4.48635134034836
"XBR300","Uninfected",3.39730664012512
"XBR301","Uninfected",3.16173557404669
"XBR278","Uninfected",3.16173557404669
"XBR302","Uninfected",3.16173557404669
"XBR303","Infected",4.69788542570937
"XBR304","Infected",4.4119403542941
"XBR279","Uninfected",3.16173557404669
"XBR280","Infected",4.4304639520087
"XBR281","Infected",4.85445138452763
"XBR282","Uninfected",4.48621088942181
"XBR283","Infected",4.74831820085013
"XBR305","Uninfected",3.16173557404669
"XBR284","Infected",3.16173557404669
"XBR285","Infected",3.97282186439111
"XBR286","Infected",3.21281241759063
"XBR287","Infected",5.55905379136511
"XBR306","Uninfected",3.16173557404669
"XBR288","Infected",3.16173557404669
"XBR307","Infected",5.69618064267827
"XBR289","Infected",3.16173557404669
"XBR308","Uninfected",3.16173557404669
"XBR290","Infected",3.16173557404669
"XBR291","Infected",5.61630175017213
"XBR292","Uninfected",4.0683892487115
"XBR272","Uninfected",3.16173557404669
"XBR316","Uninfected",3.16173557404669
