"","sampleStatus","AD1"
"XBR001","drain_1_Y",4.03696511154178
"XBR003","drain_2_Y",3.20294911796033
"XBR005","drain_1_N",4.40103364665822
"XBR006","drain_1_N",4.16096447283567
"XBR007","drain_2_N",3.89026909548703
"XBR008","drain_2_N",3.40975178560117
"XBR009","drain_3_N",3.20294911796033
"XBR010","drain_3_N",3.20294911796033
"XBR012","drain_1_N",4.48174876629666
"XBR014","drain_1_Y",4.91496184779814
"XBR015","drain_1_N",3.20294911796033
"XBR016","drain_1_Y",3.20294911796033
"XBR019","drain_2_Y",4.02587459971404
"XBR021","drain_1_N",4.24043124148138
"XBR023","drain_1_N",4.38814123805894
"XBR024","drain_2_Y",4.59180102925038
"XBR025","drain_2_N",3.20294911796033
"XBR026","Y",4.81275322118739
"XBR028","drain_2_N",3.20294911796033
"XBR032","drain_2_N",3.20294911796033
"XBR033","drain_2_N",3.20294911796033
"XBR045","drain_1_Y",4.90987334533658
"XBR046","drain_1_Y",4.86384953624313
"XBR050","drain_1_N",4.17717950000418
"XBR052","drain_2_Y",4.30817213080494
"XBR053","drain_2_Y",4.69763950481932
"XBR054","drain_2_N",4.10176926196646
"XBR056","drain_1_N",3.20294911796033
"XBR059","drain_1_N",4.15480348385079
"XBR061","N",3.20294911796033
"XBR063","Y",6.19005993009701
"XBR065","drain_2_N",3.66093995094654
"XBR070","drain_1_N",3.89540053591063
"XBR072","drain_2_N",3.23783107008555
"XBR078","Y",5.00741323774162
"XBR080","Y",5.09541268232983
"XBR081","Y",5.2621167158849
"XBR082","drain_1_N",3.70716040895054
"XBR083","N",3.20294911796033
"XBR084","N",3.24136979904863
"XBR086","drain_3_N",3.20294911796033
"XBR088","drain_2_N",3.20294911796033
"XBR089","N",3.20294911796033
"XBR090","N",3.20294911796033
"XBR091","drain_1_Y",3.20294911796033
"XBR094","drain_2_Y",4.1867526142813
"XBR099","drain_1_N",3.25897500832043
"XBR100","drain_3_Y",5.0650745857522
"XBR311","drain_1_N",3.20294911796033
"XBR312","Y",3.77553806159762
"XBR116","drain_1_Y",5.06582027094811
"XBR117","drain_2_N",3.33016150790426
"XBR119","drain_1_N",4.65460869365055
"XBR120","N",5.35199514234987
"XBR121","drain_2_Y",5.54205213613765
"XBR124","drain_1_N",3.20294911796033
"XBR126","drain_2_N",3.65497217542262
"XBR313","drain_1_Y",3.20294911796033
"XBR127","drain_1_Y",6.04887000878543
"XBR129","drain_3_N",4.37415141520036
"XBR131","drain_1_N",3.20294911796033
"XBR132","drain_2_N",3.70393596315798
"XBR135","drain_3_Y",5.3820683799412
"XBR136","drain_2_N",3.20294911796033
"XBR137","N",3.20294911796033
"XBR315","drain_2_Y",4.21471440397079
"XBR141","N",3.45496098760279
"XBR143","drain_3_N",3.26788796265891
"XBR144","Y",5.8839816672682
"XBR149","Y",5.5704245968439
"XBR150","Y",5.74840668675409
"XBR156","N",3.20294911796033
"XBR158","drain_1_N",3.48860170959808
"XBR159","drain_1_N",3.63497108108531
"XBR160","drain_1_N",3.79629814946582
"XBR161","drain_1_Y",3.20294911796033
"XBR162","drain_1_Y",4.02068659712827
"XBR163","drain_1_N",3.88585847161674
"XBR164","drain_1_N",4.12831965524421
"XBR165","drain_1_Y",3.20294911796033
"XBR166","drain_1_N",3.20294911796033
"XBR167","drain_2_N",3.34674119294203
"XBR168","drain_2_Y",4.23286708403374
"XBR169","drain_2_Y",5.27316175675488
"XBR170","drain_2_Y",5.22067080361069
"XBR171","drain_2_N",3.20294911796033
"XBR172","drain_2_N",3.20294911796033
"XBR173","drain_2_N",3.80573351018106
"XBR174","drain_2_N",3.20294911796033
"XBR175","N",3.42597650622984
"XBR176","drain_1_N",3.33148304525491
"XBR178","drain_1_N",4.2177799029336
"XBR179","drain_1_Y",3.30866681903179
"XBR180","drain_1_N",4.06825006146118
"XBR181","drain_3_N",3.27686119940548
"XBR182","drain_3_Y",4.41564956574404
"XBR183","drain_3_N",3.20294911796033
"XBR184","drain_2_N",4.05518474419614
"XBR185","drain_3_Y",4.72525406399633
"XBR186","drain_3_Y",5.80448264470767
"XBR187","drain_2_Y",3.20294911796033
"XBR188","drain_2_N",3.20294911796033
"XBR194","drain_2_N",3.20294911796033
"XBR197","drain_1_N",3.290302158929
"XBR198","drain_1_N",3.39367075258895
"XBR199","drain_3_N",3.20294911796033
"XBR200","drain_3_Y",3.24511742314169
"XBR203","Y",4.87285402483041
"XBR204","Y",5.90902389704898
"XBR207","drain_2_N",3.26615046405558
"XBR218","Y",3.97352570963332
"XBR219","N",3.20394911796033
"XBR221","N",6.27239815280981
"XBR222","N",4.26302308798072
"XBR225","drain_1_Y",3.20294911796033
"XBR227","drain_1_Y",4.39081773000072
"XBR228","drain_1_Y",4.33581189715856
"XBR230","drain_2_Y",3.20294911796033
"XBR231","drain_2_Y",4.501286448045
"XBR232","drain_2_Y",5.39580653214334
"XBR233","N",3.20294911796033
"XBR234","drain_3_Y",4.72630883002587
"XBR235","drain_3_Y",4.35897001762392
"XBR236","Y",4.74916748789172
"XBR237","Y",5.81809769932957
"XBR238","N",3.6637064671562
"XBR239","N",3.20294911796033
"XBR240","N",3.20294911796033
"XBR241","N",3.20294911796033
"XBR245","drain_3_Y",4.60554463103917
"XBR249","Y",4.80262510968201
"XBR250","N",4.30960085918002
"XBR251","drain_1_N",4.50534287215048
"XBR257","drain_2_N",4.38400970984519
"XBR259","Y",5.88522752662375
"XBR261","N",3.20294911796033
"XBR262","N",3.20294911796033
"XBR263","N",3.20294911796033
"XBR266","N",3.20294911796033
"XBR267","N",3.20294911796033
"XBR268","N",3.20294911796033
"XBR269","N",3.99326899215247
"XBR270","N",3.30056016421779
"XBR271","Y",7.81940730734784
"XBR293","N",3.21379199238007
"XBR294","N",3.20294911796033
"XBR295","N",3.20294911796033
"XBR296","Y",4.85915300111191
"XBR273","N",3.96989187983855
"XBR274","Y",3.71608085682224
"XBR275","N",3.27193935587812
"XBR276","Y",4.57485826582636
"XBR297","N",3.20294911796033
"XBR298","Y",5.79454388574809
"XBR299","N",3.20294911796033
"XBR277","Y",4.4161468710009
"XBR300","N",4.16664780130072
"XBR301","N",3.48817079065034
"XBR278","N",3.24313309699928
"XBR302","N",3.20294911796033
"XBR303","Y",4.17325730459566
"XBR304","Y",3.99914955280787
