"","pseudoStatus","pos_650.38711_16.274"
"XBR001","drain_PA-",4.78518172139031
"XBR003","drain_PA-",4.79167750871207
"XBR005","drain_PA-",4.79887212940954
"XBR006","drain_PA-",4.81952003381636
"XBR007","drain_PA-",4.82117918354021
"XBR008","drain_PA-",4.8236977857422
"XBR009","drain_PA-",4.81575956158002
"XBR010","drain_PA-",4.82728652838924
"XBR012","drain_PA-",4.80186717805753
"XBR014","drain_PA-",4.78956791044087
"XBR015","drain_PA-",4.81628901134966
"XBR016","drain_PA-",4.78634117355061
"XBR019","drain_PA+",6.43593099781888
"XBR021","drain_PA-",4.81482758936072
"XBR023","drain_PA-",4.82939619977682
"XBR024","drain_PA-",4.85602032248289
"XBR025","drain_PA-",4.8181937766795
"XBR026","seroma_PA+",4.78459576827956
"XBR028","drain_PA+",7.85380383127172
"XBR032","drain_PA-",4.79957064381524
"XBR033","drain_PA-",4.80626166089324
"XBR045","drain_PA-",4.79493487221103
"XBR046","drain_PA-",4.77843857393943
"XBR050","drain_PA-",4.81924631238471
"XBR052","drain_PA-",4.8120003103719
"XBR053","drain_PA-",4.81150950858682
"XBR054","drain_PA-",4.78724603796112
"XBR056","drain_PA-",4.80674055208281
"XBR059","drain_PA-",4.79841070680402
"XBR061","seroma_PA-",4.8154721972248
"XBR063","seroma_PA-",4.82622875127933
"XBR065","drain_PA-",4.79771738169572
"XBR070","drain_PA-",4.80052558428887
"XBR072","drain_PA-",4.80844139814757
"XBR078","seroma_PA-",4.79393605300043
"XBR080","seroma_PA-",4.77950327473315
"XBR081","seroma_PA-",4.78299516798401
"XBR082","drain_PA-",4.78598830483463
"XBR083","seroma_PA-",4.83825926932414
"XBR084","seroma_PA-",4.81357395620953
"XBR086","drain_PA-",4.80657060377539
"XBR088","drain_PA-",4.79661886075044
"XBR089","seroma_PA-",4.79609804813093
"XBR090","seroma_PA-",4.8322257119918
"XBR091","drain_PA-",4.77285629602417
"XBR094","drain_PA-",4.81400335418534
"XBR099","drain_PA-",4.85867715065489
"XBR100","drain_PA-",4.81448249783078
"XBR311","drain_PA-",4.82315007472359
"XBR312","seroma_PA-",4.83740924387761
"XBR116","drain_PA+",6.76922356001493
"XBR117","drain_PA-",4.78877612489817
"XBR119","drain_PA-",4.70224719782073
"XBR120","seroma_PA-",4.76201266422824
"XBR121","drain_PA+",7.57982346062058
"XBR124","drain_PA-",4.77198110157942
"XBR126","drain_PA-",4.81178566607562
"XBR313","drain_PA+",8.01258304590185
"XBR127","drain_PA+",7.23599288650616
"XBR129","drain_PA-",4.78972819735466
"XBR131","drain_PA-",4.80048807903258
"XBR132","drain_PA-",4.78879277350396
"XBR135","drain_PA+",6.47813591181879
"XBR136","drain_PA-",4.76304198534118
"XBR137","seroma_PA-",4.80649771744415
"XBR315","drain_PA+",7.59588184483166
"XBR141","seroma_PA-",4.763801401645
"XBR143","drain_PA-",4.80629964321841
"XBR144","seroma_PA+",6.23142952899493
"XBR149","seroma_PA+",5.34383049960052
"XBR150","seroma_PA+",5.34654037472861
"XBR156","seroma_PA-",4.8030132774656
"XBR158","drain_PA-",4.78266254547601
"XBR159","drain_PA-",4.79483239966716
"XBR160","drain_PA-",4.78623843203046
"XBR161","drain_PA+",7.70334145334137
"XBR162","drain_PA+",7.98576175510784
"XBR163","drain_PA-",4.82016529090755
"XBR164","drain_PA-",4.79154640653608
"XBR165","drain_PA-",4.7964225518496
"XBR166","drain_PA-",4.79000254361419
"XBR167","drain_PA-",4.79152971618756
"XBR168","drain_PA-",4.804726238334
"XBR169","drain_PA+",7.7388435152087
"XBR170","drain_PA+",7.63278614419985
"XBR171","drain_PA-",4.8162172840364
"XBR172","drain_PA-",4.78763357976379
"XBR173","drain_PA-",4.77894853045676
"XBR174","drain_PA-",4.80802320784142
"XBR175","seroma_PA-",4.79994864923096
"XBR176","drain_PA-",4.79194713248847
"XBR178","drain_PA-",4.79738371825056
"XBR179","drain_PA-",4.80931946078784
"XBR180","drain_PA-",4.78959294415006
"XBR181","drain_PA-",4.7841850650015
"XBR182","drain_PA-",4.79087755631041
"XBR183","drain_PA-",4.79941076319776
"XBR184","drain_PA-",4.78476387672408
"XBR185","drain_PA+",7.7564830769836
"XBR186","drain_PA+",7.68934422577355
"XBR187","drain_PA-",4.79490034636598
"XBR188","drain_PA-",4.7876757757314
"XBR194","drain_PA-",4.81729781576641
"XBR197","drain_PA-",4.8076616310788
"XBR198","drain_PA-",4.83003645347202
"XBR199","drain_PA-",4.80253878976255
"XBR200","drain_PA-",4.76962227596073
"XBR203","seroma_PA-",4.79833970110426
"XBR204","seroma_PA+",6.07752748082117
"XBR207","drain_PA-",4.82414884401268
"XBR218","seroma_PA-",4.79961143844542
"XBR219","seroma_PA-",4.80857321171788
"XBR221","seroma_PA-",4.82267816440614
"XBR222","seroma_PA-",4.87132337527777
"XBR225","drain_PA-",4.78794485617879
"XBR227","drain_PA-",4.82930104519575
"XBR228","drain_PA-",4.82140120873487
"XBR230","drain_PA-",4.79309220986686
"XBR231","drain_PA+",8.25877897798802
"XBR232","drain_PA+",6.93159788794785
"XBR233","seroma_PA-",4.81576741138196
"XBR234","drain_PA+",8.35989255796989
"XBR235","drain_PA+",7.81255337018904
"XBR236","seroma_PA+",4.81628025174149
"XBR237","seroma_PA+",4.81036757776947
"XBR238","seroma_PA-",4.90105069998222
"XBR239","seroma_PA-",4.83478349239126
