"","pseudoStatus","pos_324.06017_13.565"
"XBR001","drain_PA-",4.7074891779039
"XBR003","drain_PA-",4.71651088343979
"XBR005","drain_PA-",4.7336322174437
"XBR006","drain_PA-",4.67372097769484
"XBR007","drain_PA-",4.70464766518509
"XBR008","drain_PA-",4.70641949205042
"XBR009","drain_PA-",4.74539088859755
"XBR010","drain_PA-",4.70729099904379
"XBR012","drain_PA-",4.69379009875001
"XBR014","drain_PA-",4.69736158264865
"XBR015","drain_PA-",4.69229925276664
"XBR016","drain_PA-",4.68521727777683
"XBR019","drain_PA+",7.33802222591701
"XBR021","drain_PA-",4.69176897673728
"XBR023","drain_PA-",4.6992993535439
"XBR024","drain_PA-",4.68537676637147
"XBR025","drain_PA-",4.70789017995746
"XBR026","seroma_PA+",4.70108978520665
"XBR028","drain_PA+",8.07634694747275
"XBR032","drain_PA-",4.71492737188522
"XBR033","drain_PA-",4.72083994626361
"XBR045","drain_PA-",4.70502784356922
"XBR046","drain_PA-",4.70719624506944
"XBR050","drain_PA-",4.69339236778538
"XBR052","drain_PA-",4.69315845802325
"XBR053","drain_PA-",4.68979035152021
"XBR054","drain_PA-",4.67539201723484
"XBR056","drain_PA-",4.64948493313185
"XBR059","drain_PA-",4.71153110581613
"XBR061","seroma_PA-",4.6841692661825
"XBR063","seroma_PA-",4.67621750197475
"XBR065","drain_PA-",4.70176745283186
"XBR070","drain_PA-",4.69201743704224
"XBR072","drain_PA-",4.69155737107753
"XBR078","seroma_PA-",4.6797973869572
"XBR080","seroma_PA-",4.73630745433243
"XBR081","seroma_PA-",4.68902629231932
"XBR082","drain_PA-",4.69082607911975
"XBR083","seroma_PA-",4.72736774059281
"XBR084","seroma_PA-",4.70452089925225
"XBR086","drain_PA-",4.69718183471117
"XBR088","drain_PA-",4.69110955451198
"XBR089","seroma_PA-",4.69547754752085
"XBR090","seroma_PA-",4.71307597139496
"XBR091","drain_PA-",4.6908823505802
"XBR094","drain_PA-",4.68323633603676
"XBR099","drain_PA-",4.69863371886483
"XBR100","drain_PA-",4.68187856605785
"XBR311","drain_PA-",4.70239674012631
"XBR312","seroma_PA-",4.70606966214015
"XBR116","drain_PA+",6.30082256813242
"XBR117","drain_PA-",4.71020989426521
"XBR119","drain_PA-",4.72769627037619
"XBR120","seroma_PA-",4.67589001182265
"XBR121","drain_PA+",7.69899999029247
"XBR124","drain_PA-",4.70313359547269
"XBR126","drain_PA-",4.71072558943253
"XBR313","drain_PA+",8.08813814565616
"XBR127","drain_PA+",7.3677310151521
"XBR129","drain_PA-",4.69079619477162
"XBR131","drain_PA-",4.70306854930819
"XBR132","drain_PA-",4.71329903875329
"XBR135","drain_PA+",7.15461588430229
"XBR136","drain_PA-",4.69819418786842
"XBR137","seroma_PA-",4.67246414161735
"XBR315","drain_PA+",8.08902842539284
"XBR141","seroma_PA-",4.6982210780778
"XBR143","drain_PA-",4.70906706014695
"XBR144","seroma_PA+",4.75052360607703
"XBR149","seroma_PA+",4.69969445258599
"XBR150","seroma_PA+",4.68124564607555
"XBR156","seroma_PA-",4.6773881180099
"XBR158","drain_PA-",4.70494824736102
"XBR159","drain_PA-",4.68755804191931
"XBR160","drain_PA-",4.71954638112414
"XBR161","drain_PA+",7.24254027274557
"XBR162","drain_PA+",8.41203241191785
"XBR163","drain_PA-",4.70345661989487
"XBR164","drain_PA-",4.7049421969448
"XBR165","drain_PA-",4.68075113856364
"XBR166","drain_PA-",4.69830472377326
"XBR167","drain_PA-",4.71586669150719
"XBR168","drain_PA-",4.72467937061788
"XBR169","drain_PA+",7.7350298293383
"XBR170","drain_PA+",6.6303404202634
"XBR171","drain_PA-",4.7071244618896
"XBR172","drain_PA-",4.7203888357847
"XBR173","drain_PA-",4.71674787806753
"XBR174","drain_PA-",4.688658677098
"XBR175","seroma_PA-",4.67942448874991
"XBR176","drain_PA-",4.71324995586653
"XBR178","drain_PA-",4.70825018375501
"XBR179","drain_PA-",4.70620540161611
"XBR180","drain_PA-",4.69601050229189
"XBR181","drain_PA-",4.71496581652653
"XBR182","drain_PA-",4.6925442969271
"XBR183","drain_PA-",4.70487859260865
"XBR184","drain_PA-",4.67850981943945
"XBR185","drain_PA+",7.60890427281095
"XBR186","drain_PA+",8.03928258140421
"XBR187","drain_PA-",4.70039039659306
"XBR188","drain_PA-",4.72155658876104
"XBR194","drain_PA-",4.70393438293777
