"","pseudoStatusV2","pos_210.07921_6.48"
"XBR001","drain_C-_PA-",3.92690573977632
"XBR003","drain_C+_PA-",3.90245302904204
"XBR005","drain_C-_PA-",3.89537697411202
"XBR006","drain_C-_PA-",3.88267531697939
"XBR007","drain_C-_PA-",3.85582368252936
"XBR008","drain_C+_PA-",3.84019105680227
"XBR009","drain_C+_PA-",3.89664006394258
"XBR010","drain_C+_PA-",3.86416875630044
"XBR012","drain_C-_PA-",3.88732097217271
"XBR014","drain_C-_PA-",3.93580563818436
"XBR015","drain_C-_PA-",3.8885248935817
"XBR016","drain_C-_PA-",3.8994893497319
"XBR019","drain_C+_PA+",7.00980027007621
"XBR021","drain_C-_PA-",3.8735535708654
"XBR023","drain_C+_PA-",3.86111637925507
"XBR024","drain_C+_PA-",4.00358651610611
"XBR025","drain_C+_PA-",3.92562498660186
"XBR026","seroma_C+_PA+",3.90011969885335
"XBR028","drain_C+_PA+",7.63309542300396
"XBR032","drain_C+_PA-",3.84265122256351
"XBR033","drain_C+_PA-",3.84209194488206
"XBR045","drain_C+_PA-",3.93022187195943
"XBR046","drain_C+_PA-",3.8881805277964
"XBR050","drain_C+_PA-",3.88538204316102
"XBR052","drain_C+_PA-",3.87049985789721
"XBR053","drain_C+_PA-",3.8727240914246
"XBR054","drain_C+_PA-",3.90446463064447
"XBR056","drain_C+_PA-",3.88175423616491
"XBR059","drain_C-_PA-",3.87614859443957
"XBR061","seroma_C-_PA-",3.88325614784889
"XBR063","seroma_C+_PA-",4.03096117650807
"XBR065","drain_C+_PA-",3.92780593979652
"XBR070","drain_C+_PA-",3.88416232475141
"XBR072","drain_C+_PA-",3.87221644459797
"XBR078","seroma_C+_PA-",3.91624759623163
"XBR080","seroma_C+_PA-",3.96398474973325
"XBR081","seroma_C+_PA-",3.94287513040531
"XBR082","drain_C+_PA-",3.90120384079594
"XBR083","seroma_C+_PA-",3.87220537911752
"XBR084","seroma_C-_PA-",3.91267080207652
"XBR086","drain_C+_PA-",3.89413669615186
"XBR088","drain_C+_PA-",3.87318882560022
"XBR089","seroma_C-_PA-",3.87941828627153
"XBR090","seroma_C+_PA-",3.8766498616129
"XBR091","drain_C+_PA-",3.87229074680712
"XBR094","drain_C+_PA-",3.94250764872743
"XBR099","drain_C-_PA-",3.86885087190367
"XBR100","drain_C+_PA-",3.92364842591547
"XBR311","drain_C+_PA-",3.9312239887618
"XBR312","seroma_C+_PA-",4.0084880641847
"XBR116","drain_C+_PA+",5.29395735211385
"XBR117","drain_C+_PA-",3.88843776720725
"XBR119","drain_C+_PA-",3.90860302580164
"XBR120","seroma_C+_PA-",3.98651812206696
"XBR121","drain_C+_PA+",6.56061679749885
"XBR124","drain_C+_PA-",3.96872405944047
"XBR126","drain_C+_PA-",3.89737915096644
"XBR313","drain_C+_PA+",8.60901106499726
"XBR127","drain_C+_PA+",8.38337456280281
"XBR129","drain_C+_PA-",3.8982653902897
"XBR131","drain_C+_PA-",3.91192028396105
"XBR132","drain_C+_PA-",3.89875312847239
"XBR135","drain_C+_PA+",4.93997357580672
"XBR136","drain_C+_PA-",3.88674267987262
"XBR137","seroma_C-_PA-",3.86022806313805
"XBR315","drain_C+_PA+",6.66498291486666
"XBR141","seroma_C-_PA-",3.8598440669657
"XBR143","drain_C+_PA-",3.90028725799881
"XBR144","seroma_C+_PA+",4.00552079993993
"XBR149","seroma_C+_PA+",3.95574055332054
"XBR150","seroma_C+_PA+",3.96091021522635
"XBR156","seroma_C-_PA-",3.86155665178237
"XBR158","drain_C-_PA-",3.93922815381764
"XBR159","drain_C+_PA-",3.9205802099517
"XBR160","drain_C+_PA-",3.91762017541194
"XBR161","drain_C+_PA+",7.18242373171949
"XBR162","drain_C+_PA+",8.83403011948638
"XBR163","drain_C-_PA-",3.90779685533593
"XBR164","drain_C-_PA-",3.93506410502187
"XBR165","drain_C+_PA-",3.93070225532814
"XBR166","drain_C-_PA-",3.94532176504009
"XBR167","drain_C-_PA-",3.90393966986594
"XBR168","drain_C+_PA-",3.92643050376824
"XBR169","drain_C+_PA+",7.04044411260703
"XBR170","drain_C+_PA+",7.1430857313097
"XBR171","drain_C+_PA-",3.88705959631284
"XBR172","drain_C+_PA-",3.89981173024633
"XBR173","drain_C-_PA-",3.90075881664847
"XBR174","drain_C-_PA-",3.90515421668553
"XBR175","seroma_C-_PA-",3.92089536704246
"XBR176","drain_C-_PA-",3.94474938089142
"XBR178","drain_C-_PA-",3.94277598701048
"XBR179","drain_C+_PA-",3.96505967051904
"XBR180","drain_C-_PA-",3.91005900569509
"XBR181","drain_C+_PA-",3.91982665896121
"XBR182","drain_C+_PA-",3.91148089613347
"XBR183","drain_C+_PA-",3.90247829469764
"XBR184","drain_C-_PA-",3.9302022016744
"XBR185","drain_C+_PA+",8.07517287825436
"XBR186","drain_C+_PA+",7.90730046365712
"XBR187","drain_C+_PA-",3.90613487116812
"XBR188","drain_C+_PA-",3.90333291559363
"XBR194","drain_C-_PA-",3.90863501426498
"XBR197","drain_C+_PA-",3.92758657343753
"XBR198","drain_C+_PA-",3.89694960375176
"XBR199","drain_C+_PA-",3.90395177106588
"XBR200","drain_C+_PA-",3.91215099673999
"XBR203","seroma_C+_PA-",3.91694977525646
"XBR204","seroma_C+_PA+",3.95282798580904
"XBR207","drain_C+_PA-",3.87943240349581
"XBR218","seroma_C+_PA-",3.9627617913834
"XBR219","seroma_C+_PA-",3.92449166849317
"XBR221","seroma_C+_PA-",4.10857290218269
"XBR222","seroma_C+_PA-",3.92114097341709
"XBR225","drain_C+_PA-",3.89802082961128
"XBR227","drain_C+_PA-",3.88795528908852
"XBR228","drain_C+_PA-",3.90246645539994
"XBR230","drain_C+_PA-",3.90980449258424
"XBR231","drain_C+_PA+",9.06645691268053
"XBR232","drain_C+_PA+",7.19094432045367
"XBR233","seroma_C-_PA-",3.91201888028841
"XBR234","drain_C+_PA+",9.04598148947649
"XBR235","drain_C+_PA+",8.11865656503467
"XBR236","seroma_C+_PA+",4.19270547739383
"XBR237","seroma_C+_PA+",3.96195313319508
"XBR238","seroma_C+_PA-",3.98202048539411
"XBR239","seroma_C-_PA-",3.94860354387529
"XBR240","seroma_C-_PA-",3.88519662923891
"XBR241","seroma_C+_PA-",3.91056066152071
"XBR245","drain_C+_PA-",3.93512779474489
"XBR249","seroma_C+_PA-",3.96176574475587
"XBR250","seroma_C+_PA-",3.95431572198802
"XBR251","drain_C-_PA-",3.93079364345695
"XBR257","drain_C+_PA-",3.9911075354115
"XBR259","seroma_C+_PA-",4.06799470486992
"XBR261","seroma_C-_PA-",3.94881723943068
"XBR262","seroma_C+_PA-",4.02384823585318
"XBR263","seroma_C+_PA-",3.97580282144441
"XBR266","seroma_C-_PA-",3.91162840609755
"XBR267","seroma_C-_PA-",3.9527698315451
"XBR268","seroma_C-_PA-",3.95089987798148
"XBR269","seroma_C+_PA-",3.9119073532236
"XBR270","seroma_C-_PA-",3.92278089097856
"XBR271","seroma_C+_PA-",4.64287219981115
"XBR293","seroma_C+_PA-",3.95090222601607
"XBR294","seroma_C-_PA-",3.95229699482559
"XBR295","seroma_C-_PA-",3.90528185949614
"XBR296","seroma_C+_PA-",3.97823784180657
"XBR273","seroma_C+_PA-",3.92121658936829
"XBR274","seroma_C+_PA-",3.92026277892913
"XBR275","seroma_C+_PA-",3.94086838486893
"XBR276","seroma_C+_PA-",3.92048559948135
"XBR297","seroma_C-_PA-",4.91351775138871
"XBR298","seroma_C+_PA-",4.27700989971761
"XBR299","seroma_C+_PA-",4.56364271004557
"XBR277","seroma_C-_PA-",3.95692333441046
"XBR300","seroma_C+_PA-",3.9847719465545
"XBR301","seroma_C+_PA-",3.91989819300534
"XBR278","seroma_C-_PA-",3.90615406629922
"XBR302","seroma_C-_PA-",4.28647783341113
"XBR303","seroma_C+_PA-",4.90997627008644
"XBR304","seroma_C-_PA-",3.98765617233247
"XBR279","seroma_C-_PA-",3.93671768823205
"XBR280","seroma_C+_PA-",3.92131841627851
"XBR281","seroma_C+_PA-",3.99386305711437
"XBR282","seroma_C+_PA+",3.91202775107741
"XBR283","seroma_C-_PA-",3.91511067974256
"XBR305","seroma_C-_PA-",3.96949781513273
"XBR284","seroma_C+_PA-",3.92867486319066
"XBR285","seroma_C+_PA-",3.95404100111175
"XBR286","seroma_C+_PA+",3.95030616159702
"XBR287","seroma_C+_PA-",4.25099383865934
"XBR306","seroma_C-_PA-",3.93044754911333
"XBR288","seroma_C-_PA-",3.90733982136787
"XBR307","seroma_C+_PA-",4.30258859951015
"XBR289","seroma_C+_PA-",3.93597563420314
"XBR308","seroma_C+_PA-",4.21514741413588
"XBR290","seroma_C+_PA-",3.92885316276016
"XBR291","seroma_C+_PA-",3.95256485654353
"XBR292","seroma_C-_PA-",3.89782975045332
"XBR272","seroma_C-_PA-",4.89556616430582
"XBR316","seroma_C-_PA-",3.93955452598168
